54281,авраменко володимир андрійович
28970,друзюк микола васильович
4877,дзензерський денис вікторович
54309,карденас-причепій богдан пауль анді 
42902,аджунер шевкі 
42463,токар роман миколайович
54342,коваль юрій леонідович
23938,янчишин сергій володимирович
4505,літман олександр мойсейович
54175,заброда вадим миколайович
6190,кателін володимир петрович
5060,пашинський сергій володимирович
54171,пономарьов володимир сергійович
54168,новак ігор євгенійович
4713,магалецька владислава валеріївна
17658,мухін володимир миколайович
54179,фролов сергій валентинович
27165,рудницький валентин адамович
7596,маньковський леонід костянтинович
14624,ястреб денис анатолійович
54312,хрущ владислав олегович
7899,рудніченко оксана миколаївна
41687,фомін віталій юрійович
49761,звіздовський євгеній едуардович
54176,магомедов руслан садрудинович
54173,корнієвська ольга михайлівна
54395,стрельніков денис юрійович
36121,субота василь йосипович
25946,голубов дмитро іванович
54226,пілат олег леонідович
42500,холоденко микола миколайович
14728,підгородинський микола олексійович
54318,шаповал алла григорівна
54095,гренадьоров андрій васильович
54184,паляничка євген борисович
6405,михальчук олександр миколайович
42419,шахов максим володимирович
41710,холод сергій володимирович
34645,оксінь віталій юрійович
54227,галак людмила анатоліївна
42141,шаповалов віталій петрович
33898,осауленко світлана вікторівна
742,клюєв андрій петрович
41663,широка катерина юріївна
42457,тітов максим юрійович
46252,дворський вячеслав миколайович
23935,прокопчук дмитро вікторович
54223,колесник ярослав васильович
34563,наперковський юрій анатолійович
6674,суярко сергій миколайович
41136,зеленський володимир олександрович
54236,рашковський геннадій семенович
14652,чумак артем володимирович
6471,бриндак олег борисович
15350,борис зеновій дмитрович
23753,золотоноша олег вікторович
5105,скорик микола леонідович
6101,хрімлі олександр геннадійович
6681,кушнір ірина володимирівна
16747,муляренко олексій віталійович
26285,браславський ігор леонідович
49760,єрмоличев роман володимирович
34659,максименко андрій володимирович
5610,петешенкова марина юріївна
54716,бенш роберт 
706,шокін віктор миколайович
35750,ковалевська наталія володимирівна
33895,бучинський олексій андрійович
8957,коровій валерій вікторович
17115,дмитрів владислав мирославович
54182,коротецький віктор леонідович
15364,жмуктенко євгеній володимирович
23702,гончарук юрій георгійович
5471,василенко любов андріївна
23928,котяш андрій іванович
54317,єршов артемій михайлович
54242,мухарський ігор георгійович
5145,хомутиннік віталій юрійович
17316,сундуков сергій олександрович
54348,шевченко євгеній олександрович
23871,киричук максим юрійович
434,ківалов сергій васильович
54345,шараборін ігор євгенійович
23925,чібісов дмитро олегович
23911,кузьменко олександр миколайович
33901,костусєв олексій олексійович
54243,абашев родіон анатолійович
17639,погребняк станіслав петрович
17235,яворський ігор богданович
9835,кайда олексій петрович
25768,рухер петро віталійович
24165,якименко олександр васильович
54316,ткач григорій якович
17241,онищук борис володимирович
23951,дунас тарас омелянович
28926,третяков євген андрійович
8472,сушкевич валерій михайлович
14856,хаврона олег євгенович
7193,максимов сергій володимирович
17223,кривозуб ігор володимирович
6682,лук’яненко жанна володимирівна
