id_PEP,kids_actual,kids_expected,wife_actual,wife_expected,total_property_assets,total_property_assets_divide_income,sum_income,am_avto,am_avto_without_price,am_real_estate,am_real_estate_without_price,am_land,am_land_without_price,no_real_estate_adress,no_real_estate_region,sum_act_property_cash,sum_act_property_cash_divide_sum_prev_property_cash,sum_prev_property_cash,sum_act_sale_property,sum_prev_sale_property,sum_income_divide_sum_act_property_minus_sum_prev_property,sum_taken_teaching_dopwork,sum_taken_teaching_dopwork_divide_sum_income,sum_royalty,sum_royalty_divide_sum_income,sum_income_assets,sum_spending,sum_present,sum_prize,am_car2013_less150,am_lux_car,sum_cash,sum_cash_assets,sum_prev_cash_assets,sum_cash_min_year,sum_cash_min_year_divide_sum_income_min_year,sum_income_min_year,sum_spending_divide_sum_income,am_company_noBeneficInform,am_company,sum_money_spending,sum_crypto,am_live_property_rent_300more
730,,,,,7770190.6408,13.9237,558056.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2013323.64,,,3700277.0,29.5412,125258.0,,,,,,
731,0.0,1.0,1.0,1.0,26722388.9272,20.2833,1317458.0,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,13076140.0,19000145.9272,18565057.0812,16668815.264,9.2728,1797609.0,,1.0,,,,
733,0.0,1.0,1.0,1.0,12590154.5036,12.868,978410.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2058351.6,,,,,,,,,,,
734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1824152.4,,,,,,,,,,,
735,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4975827.6,,,,,,,,,,,1.0
789,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.0,3146688.4,,,,,,,,,,,
1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4678468.0,,,,,,,,,,,
1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1069,1.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,,,,,14798075.0,39.4565,375048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2531978.0,2535487.0,778062.6,,,,,,,,,
1075,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2774812.0,4047042.0,2845829.0,,,,,,,,,
1077,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1617036.8776,1288940.5312,,,,,,,,,
1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1082,,,,,,,715870.0,,,,,,,,,,,,,,,,,,,1155104.0,2322257.0,,,,1.0,,,,,,,324.3965,,,,,
1083,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,7343087.2,,,7241700.0,29.157,248369.0,,,,,,
1087,0.0,3.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
1089,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1090,0.0,2.0,0.0,0.0,,,4200676.0,,,,,,,,,,,,,,,,,,,,4600000.0,,,,,,,,,,,109.5062,,,,,
1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1519193.6,,,,,,,,,,,
1096,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3698882.0,,,,,,,,,,,
1100,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2290191.0,1853830.0,,,,,,,,,
1101,1.0,2.0,1.0,1.0,,,4658169.0,,,,,,,,,,,,,,,3644957.0,78.2487,,,,,,,,,1906156.76,,,,,,,,,,,
1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1796384.036,3316002.8184,2460735.6128,,,,,,,,,
1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5287164.8,,,,,,,,,,,
1105,2.0,3.0,0.0,0.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2793748.3604,2372106.796,,,,,,,,,
1106,,,,,8449489.9184,19.7643,427512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2713304.0,,,,,,,,,,,
